created_at,text
Thu Jun 20 23:03:24 +0000 2019,"not funny  
make sure you do not miss this episode TONIGHT starring 2 complete disasterson  12351135c "
Mon Jun 17 22:48:07 +0000 2019, NYC 
Sun Jun 16 15:38:22 +0000 2019,when you been MIA and got hella people to get back to  
Mon Jun 10 13:37:57 +0000 2019,  
Mon Jun 10 13:37:08 +0000 2019,  
Mon Jun 10 13:13:41 +0000 2019,"New  cover On stands June 11th 
Interview by  
Editor in Chief Nick Haramis
 PierreAnge Carlotti 
Stylist Mel Ottenberg 
Hair  
Makeup Stéphane Marais
  
Entertainment Director Lauren TB
 "
Sun Jun 09 17:07:55 +0000 2019, 
Sun Jun 09 17:06:36 +0000 2019,
Sat Jun 08 17:14:47 +0000 2019,"my baby Majesty is a big girl today  years old HAPPY 5th BIRTHDAY to my real life princess Her Majesty 
Aunty loves everything about you My lil oxtail "
Sat Jun 01 14:09:15 +0000 2019,  new June drop OUT NOW  
Fri May 31 13:38:23 +0000 2019,The  June drop is coming tonight at midnight   
Wed May 29 11:24:26 +0000 2019,"Kwame Brathwaite archive
 "
Mon May 27 21:51:45 +0000 2019,
Mon May 27 21:50:45 +0000 2019,
Mon May 27 21:50:05 +0000 2019,mumz 
Mon May 27 20:43:53 +0000 2019, 
Mon May 27 12:55:27 +0000 2019, 
Mon May 27 12:55:01 +0000 2019, 
Mon May 27 11:58:06 +0000 2019,
Mon May 27 11:57:17 +0000 2019,Fentys 
Mon May 27 11:55:48 +0000 2019,
Mon May 27 11:55:48 +0000 2019,
Mon May 27 11:13:48 +0000 2019, 
Sat May 25 08:52:36 +0000 2019,11 am 
Thu May 23 15:46:13 +0000 2019,The wonderful Mr Bernard Arnault So grateful for the opportunity to partner with this man at    
Tue May 21 21:01:21 +0000 2019,"make room in your closets 
we coming    "
Mon May 20 13:11:24 +0000 2019,
Mon May 20 13:09:28 +0000 2019,  
Mon May 20 13:08:44 +0000 2019,  
Mon May 20 13:06:41 +0000 2019,"so excited to be on  first digital cover heres a sneak peak of whats to come from  Written by  photographed by Kristin Lee Moolman 
makeup Lauren Parsons hair  manicure  set design Andrew Tomlinson "
Thu May 16 15:12:58 +0000 2019,"take a look these are the idiots making decisions for WOMEN in America 
Governor Kay IveySHAME ON YOU "
