created_at,text
Thu May 21 22:52:15 +0000 2020,90th birthday present for my Mamma 
Thu May 21 22:06:42 +0000 2020,Have you ever wanted to ask me a question Heres your chance Send a video or tweet me your question with the hashtag AskEllen and I might answer it on my show
Thu May 21 21:31:17 +0000 2020, has a new app to bring you some laughs and help comics who cant perform in clubs right now I love this idea 
Thu May 21 20:49:57 +0000 2020,You will not believe what happens to  while Im interviewing  and  
Thu May 21 18:08:33 +0000 2020, I loved talking to you both Im so sorry about Andy
Thu May 21 17:55:27 +0000 2020,I played a game called DidIDoThat to see if I could remember some of the crazy things Ive done on the show Spoiler Alert  Ive done a lot of crazy things 
Thu May 21 17:07:23 +0000 2020,My plans                                                  2020 
Thu May 21 15:57:25 +0000 2020, is the first woman to win the MaskedSinger and shes here to tell me about it 
Wed May 20 22:14:37 +0000 2020,Thanks to Shutterfly Ive met some of the most incredible people Here are some highlights Thank you  
Wed May 20 21:39:22 +0000 2020, I admire you right back
Wed May 20 20:56:07 +0000 2020,You were born in the wagon of a traveling show and now look at you Happy birthday  
Wed May 20 20:30:39 +0000 2020,Happy NationalRescueDogDay Look at these sweet faces that could come home to live with you Just a suggestion  
Wed May 20 19:32:44 +0000 2020, is joined by  and  to demonstrate why you should never judge a mom This made me laugh out loud Momsplaining ThanksSponsor 
Wed May 20 16:14:26 +0000 2020,Aidy Bryant has some interesting fantasies about  
Tue May 19 23:39:23 +0000 2020,Xander Rynerson is only 5 years old but hes a universe of knowledge 
Tue May 19 20:55:45 +0000 2020,Absolutely adorable 
Tue May 19 19:46:21 +0000 2020, Do it animals Also humans
Tue May 19 19:24:58 +0000 2020, is sheltering at her parents house in Dayton Ohio with enough greeting cards to open a Hallmark store 
Tue May 19 18:08:37 +0000 2020,OMG I love this guy You have to see this ThanksSponsor 
Mon May 18 23:31:33 +0000 2020,GameofGames is over for the season but you can show me the creative ways you play my Game of Games at home Post a video using GameofGamesinMyHomeofHomes 
Mon May 18 22:34:38 +0000 2020,Its InternationalMuseumDay That reminds me of the time I toured the MET in NYC back in 2006 I still have the tote bag 
Mon May 18 21:35:05 +0000 2020,Your memes make me very happy MeMeMonday 
Mon May 18 20:20:47 +0000 2020,Can you do a trick shot throwing a can or bottle into a recycling bin Send it to me and you could win 25000 What else are you gonna do today RecycleTrickShotContest  
Mon May 18 19:05:38 +0000 2020,Here are some news headlines that arent about the pandemic Youre welcome 
Mon May 18 18:11:06 +0000 2020,Giving the commencement speech to the Class of 2009 at Tulane who arrived as freshmen right after Hurricane Katrina was one of the highlights of my life Congratulations to all the graduates 
Mon May 18 15:52:41 +0000 2020, makes me laugh and not just because he sang all of Eternal Flame while doing a plank plankthatsong 
Mon May 18 00:28:27 +0000 2020,Rosie is 8 years old and what shes doing for other kids is absolutely adorable Dont miss LittleBigShots tonight 
Sun May 17 15:00:17 +0000 2020,Internet sensations the  were here to debate how to put pants on a dog 
Sun May 17 02:34:38 +0000 2020,This was a fun surprise Happy ArmedForcesDay 
Sat May 16 22:07:49 +0000 2020,Fred Willard always made me laugh I just adored him and today Im sending love to his family and his many friends
Sat May 16 13:24:32 +0000 2020,Its ArmedForcesDay Nothing makes me happier than watching videos like this 
Fri May 15 23:31:41 +0000 2020,Zoinks  is out today 
Fri May 15 20:45:03 +0000 2020,I asked you to tweet what youve learned about your partner in quarantine I dont know what I was expecting but it definitely wasnt this ImWithSomeoneWhoBLANKS 
Fri May 15 19:30:09 +0000 2020,In this episode of TokItOut  finds a boyfriend See you again soon  
Fri May 15 18:25:50 +0000 2020,Happy EndangeredSpeciesDay Lets save some gorillas 
Fri May 15 17:54:58 +0000 2020, is one very funny doctor 
