created_at,text
Tue Apr 21 20:15:11 +0000 2020,love u sm  miss this time
Tue Apr 21 01:53:54 +0000 2020,miss u
Sun Apr 19 19:16:44 +0000 2020,love u both so much  this is so awesome
Sat Apr 18 05:49:08 +0000 2020,so random and so kind of u  love u  appreciate u  miss u guys  working a lot but miss u  amp  sending love
Fri Apr 17 22:40:44 +0000 2020,i  cannot thank u enough  that means the world with me  u did an amazing job WRITING literally EVERY SONG THAT MATTERS IN THE HISTORY OF THE WORLD
Fri Apr 17 04:39:30 +0000 2020,my queen  miss u so so so much  u were so adorable and phenomenal tonight   what a gift u are
Fri Apr 17 01:22:54 +0000 2020,it s from the no tears video
Fri Apr 17 01:22:53 +0000 2020,won t say i m in love    thank u for having me      DisneyFamilySingalong
Thu Apr 16 16:45:17 +0000 2020,at least out loud   i won t say i m in love
Wed Apr 15 22:55:46 +0000 2020,omg
Wed Apr 15 22:37:22 +0000 2020,remind me if we ve ever had more fun working on something in our lives really
Wed Apr 15 08:53:18 +0000 2020,we got time  now all we need is patience   ﾟ gt lt ﾟ  no rush  love u w all my heart   maybe no more lives for now lmao
Wed Apr 15 04:02:00 +0000 2020,omg  thank u for making mine come true  love and appreciate u sm
Thu Apr 09 23:33:47 +0000 2020,mona
Thu Apr 09 23:26:06 +0000 2020,bruh
Thu Apr 09 23:23:33 +0000 2020,i m crying
Thu Apr 09 23:19:11 +0000 2020,HAHAHAHAHAHA
Thu Apr 09 23:10:31 +0000 2020,oh my god       so cute
Thu Apr 09 23:07:47 +0000 2020,so cute
Thu Apr 09 22:25:36 +0000 2020,good   it s funny and fun  keep being creative and making each other laugh
Thu Apr 09 22:15:08 +0000 2020,IS EVERYONE OKAY    but the heartbeat sensation line is a bar
Wed Apr 08 19:48:02 +0000 2020,entirely
Wed Apr 08 19:47:09 +0000 2020,u and   transformed  truly soul shaking performances from u both
Wed Apr 08 19:27:14 +0000 2020,another super productive day
Mon Apr 06 06:30:55 +0000 2020,yes literally on set of giaw lmao
Mon Apr 06 06:13:15 +0000 2020,ft me rn
Mon Apr 06 06:11:57 +0000 2020,oh my god i love u so much it hurts
Mon Apr 06 03:12:55 +0000 2020,hello same to u my fine sir
Mon Apr 06 03:12:18 +0000 2020,i believe it more than i believe anything else in my life
Mon Apr 06 02:16:51 +0000 2020,and how d u all make use of YOUR day
Sun Apr 05 21:00:36 +0000 2020,same
Sun Apr 05 20:59:47 +0000 2020,miss u
Sun Apr 05 20:59:14 +0000 2020,the best time
Sun Apr 05 19:58:18 +0000 2020,tommy n i sending u some virtual love     hope you re all staying safe  sane  healthy and as creative as possible
Sun Apr 05 06:03:41 +0000 2020,well i love u don t u kno by now
Sun Apr 05 05:51:15 +0000 2020,me the fuck too
Sun Apr 05 05:51:05 +0000 2020,wait how long was i gone A DAY
Sun Apr 05 05:50:20 +0000 2020,right here hello
Sun Apr 05 05:50:11 +0000 2020,CALM DOWN BROOKLYN UR TAKING MY BREATH AWAY
Sun Apr 05 05:49:44 +0000 2020,bitch no jus scared imma disappoint when my ass goes to sleep or watches a movie in a lil
Sun Apr 05 05:49:06 +0000 2020,well
Sun Apr 05 05:48:53 +0000 2020,ok thank u but also i ll be lookin at responses takin notes ma am
Sun Apr 05 05:48:26 +0000 2020,love u way more fuckin always
Sun Apr 05 05:47:50 +0000 2020,OK GOOD CAUSE I STILL WANNA KNO WHAT U MISS HEARING
Sun Apr 05 05:47:00 +0000 2020,"omg more than anything i was being half silly half serious 
i didn t mean to hype y all up or make u wanna stay up late for nothin that s all"
Sat Apr 04 04:35:00 +0000 2020,love n miss u most
Sat Apr 04 04:32:17 +0000 2020,i love gigi sm   i am crying
Sat Apr 04 04:15:57 +0000 2020,it is what it is  is perfect
Sat Apr 04 04:15:57 +0000 2020,it is what it is  is perfect
Wed Apr 01 18:53:40 +0000 2020,real protective w my souuul where uuu been
Tue Mar 31 21:57:14 +0000 2020,mood
Tue Mar 31 21:54:35 +0000 2020,miss u
Tue Mar 31 21:45:58 +0000 2020,imy
Mon Mar 30 19:02:05 +0000 2020,get a load a dis
Sun Mar 29 18:51:44 +0000 2020,love u more
Sun Mar 29 18:50:28 +0000 2020,u know i do
Sun Mar 29 03:14:19 +0000 2020,love u
Sat Mar 28 21:07:42 +0000 2020,i only want to perform this version moving forward
Sat Mar 28 06:15:38 +0000 2020,happy
Fri Mar 27 01:32:16 +0000 2020,holy shit
Tue Mar 24 21:49:58 +0000 2020,love u
Tue Mar 24 21:48:54 +0000 2020,so thankful to hear
Tue Mar 24 21:46:25 +0000 2020,it s not   promise  but new music is still a long time away   jus wanted to share a lil something w u
Tue Mar 24 20:36:01 +0000 2020,"i miss making things 
can t wait to get back to work
but for now 
let s stay inside pls"
Mon Mar 23 08:09:17 +0000 2020,watch when you get a chance     it s aaron
Mon Mar 23 08:07:54 +0000 2020,miss you tommy  lt 3   it s aaron
Mon Mar 23 08:07:07 +0000 2020,what
